,Company_Name,Job_Title,Location,Easy_Apply,Rating,URL,Summary
23,Horizontal,Data Scientist,"Broomfield, CO",Easy Apply,,indeed.com/rc/clk?jk=90ffcd8aa017890d&fccid=cabecef733f6cfcf&vjs=3," Data scientists use data and analytical ability to find and interpret rich data sources; manage large amounts of data despite hardware, software, and bandwidth…"
24,Vail Resorts,Principal Data Scientist,"Broomfield, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=4871a6f1588eb807&fccid=af95ff2f9c48b702&vjs=3, Vail Resorts is looking to hire a Principal Data Scientist to join our Data Science team. This role will report directly into the Director of Data Science.
25,xentity corporation,Data Science Analyst,"Denver, CO",Easy Apply,4.6,indeed.com/rc/clk?jk=d18b4fbab7ddb135&fccid=d7dee2b3330da2cc&vjs=3, Data Engineer Tech – :Cleaning and Integrating Dirty Data. Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real…
26,Dataiku,Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=4399b6dccc696551&fccid=4640437a3109c91f&vjs=3," Co-develop data science projects with our customers. Provide data science expertise to customers and internally to Dataiku’s sales, marketing, and R&D teams."
27,Frontdoor,Head of Data Science,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=158d8216bbb2acac&fccid=e064eb2c7274ff10&vjs=3, Define data science strategy for Frontdoor. Build the Data Science function at Frontdoor. You interested in working at the intersection of applied quantitative…
28,"ArcherDX, INC.",Director of Data Science (Analytics) (ADX-234-19),"Boulder, CO",Not Easy Apply,,indeed.com/rc/clk?jk=8be90bb8abccda0c&fccid=d9dd442e400888fb&vjs=3, Director of Data Science (Analytics) (ADX-234-19). Capitalize on opportunities to use data science approaches to generate new value from Archer’s data.
29,Unsupervised,Data Scientist,"Boulder, CO",Easy Apply,,indeed.com/rc/clk?jk=7ceaada38aa7f665&fccid=7e267eca41cc892f&vjs=3," Comfort writing end-to-end data science pipelines, taking raw data to models serving predictions. Academic background related to Data Science (degrees in…"
30,Sense Corp,Snowflake Data Scientist,Colorado,Easy Apply,3.6,indeed.com/rc/clk?jk=3fc216be5ebbb7e7&fccid=71e1b00765cb6e2c&vjs=3," Expertise in R or Python (including importing/exporting data, data wrangling/transformations, model building, and data visualization)."
31,Nexthealth,Senior Data Scientist,"Denver, CO",Easy Apply,4.3,indeed.com/rc/clk?jk=c4ba8c166146094a&fccid=01ab6906cfbe8d58&vjs=3," Detailed knowledge of computer science including data structures, data modeling, distributed systems, and software design methods."
32,SpotX,Data Scientist,"Broomfield, CO",Easy Apply,4.1,indeed.com/rc/clk?jk=743287ff6c647afe&fccid=3d49bf42f1ae665d&vjs=3," Monitor, tune, and extend existing Data Science solutions/products. Join SpotX as a Data Scientist. Retrieve, clean, transform and overlay 3rd-party data."
33,Pie Insurance,Predictive Modeling/Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=353ef6d89a4518c8&fccid=fab75f149007c659&vjs=3, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
34,RiskMatch,Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=989bbd3843fb83f9&fccid=404aea3fb2fdff40&vjs=3," As a data scientist at Vertafore, you will be responsible for finding signals in complex and industry-unique data sets, developing innovative data science…"
35,Denver Health,Data Scientist - Behavioral Health,"Denver, CO",Not Easy Apply,3.7,indeed.com/rc/clk?jk=508970a4e047b9bf&fccid=0a0a2172bfedd7b7&vjs=3," Bachelors in biostatistics, clinical science, computer science, public health, statistics, or disciplines which include application of statistical analysis and…"
36,Deloitte,"Lead, People Analytics-Data Science","Denver, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=d3679ac2a4bc49ca&fccid=9e215d88a6b33622&vjs=3," Locates and extract data from new data sources, finds new uses for existing data sources, structures and drives new data collection efforts, and provides…"
37,Vertafore,Data Scientist,"Denver, CO",Not Easy Apply,3.2,indeed.com/rc/clk?jk=593464ed90f6c272&fccid=ff1a447b3ee2756e&vjs=3," As a data scientist at Vertafore, you will be responsible for finding signals in complex and industry-unique data sets, developing innovative data science…"
38,Digital Partners,Data Analyst,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=5b4d11b6dce6eced&fccid=4f7c91e2885764ae&vjs=3, Bachelor’s or master’s degree in applied mathematics or data science. Ability to use advanced techniques to handle big data with structured and unstructured…
39,Twitter,"Software Engineer - Machine Learning Data and Observability, Cortex","Boulder, CO",Not Easy Apply,4.1,indeed.com/rc/clk?jk=ebe382b729d1a816&fccid=7a3824693ee1074b&vjs=3, Instrumenting data anomalies in production model systems. Our efforts affect every other product in Cortex in an effort to make our users able to understand…
40,Valen Analytics,Data Scientist,"Denver, CO",Not Easy Apply,,indeed.com/rc/clk?jk=a11d9b56688c56c9&fccid=847cd08b3d651258&vjs=3, Effectively represent the Data Science group in a collaborative environment to execute on company goals. Data visualization software and tools.
41,SSB Consulting Group LLC,Data Scientist,"Greenwood Village, CO",Easy Apply,,indeed.com/rc/clk?jk=ea41a686254dfad7&fccid=599669f2e51713f8&vjs=3," Experience in managing and manipulating large, complex data sets. Experience with data visualization tools (Tableau, PowerBI, matplotlib, seaborn)."
42,Ibotta,Decision Scientist - Data & Media,"Denver, CO",Easy Apply,3.5,indeed.com/rc/clk?jk=9ef8d727c462b05c&fccid=2e1276ca32b1a903&vjs=3, Strong SQL and proven data wrangling skills. Become the go-to expert around client data questions and requests. Work to enhance and automate current processes.
43,Aegis Premier Technologies,Data Scientist,"Westminster, CO",Easy Apply,,indeed.com/company/Aegis-Premier-Technologies/jobs/Data-Scientist-d8891916469e042c?fccid=e4620cabfaf6b381&vjs=3," Data science: 2 years (Required). The Data Scientist will help us design, create and deliver products driven from vast consumer data resources."
44,HP,Software Engineer Internship for Workstations for Data Science Tools,"Fort Collins, CO",Not Easy Apply,4.0,indeed.com/rc/clk?jk=793348673dae4fbf&fccid=1b866506aec22461&vjs=3, Work with a team to understand Data Science workflows within an edge compute environment. This internship will design and deploy a data science tools used to…
